town,county,office,district,party,candidate,winner,votes
Holderness,Grafton,Governor,,R,Ovide Lamontagne,False,499
Hollis,Hillsborough,Governor,,R,Ovide Lamontagne,False,2441
Hooksett,Merrimack,Governor,,R,Ovide Lamontagne,False,3703
Hopkinton,Merrimack,Governor,,R,Ovide Lamontagne,False,1305
Hudson,Hillsborough,Governor,,R,Ovide Lamontagne,False,5675
Jackson,Carroll,Governor,,R,Ovide Lamontagne,False,252
Jaffrey,Cheshire,Governor,,R,Ovide Lamontagne,False,1122
Jefferson,Coos,Governor,,R,Ovide Lamontagne,False,296
Keene,Cheshire,Governor,,R,Ovide Lamontagne,False,3130
Kensington,Rockingham,Governor,,R,Ovide Lamontagne,False,724
Kilkenny,Coos,Governor,,R,Ovide Lamontagne,False,0
Kingston,Rockingham,Governor,,R,Ovide Lamontagne,False,1606
Laconia,Belknap,Governor,,R,Ovide Lamontagne,False,3483
Lancaster,Coos,Governor,,R,Ovide Lamontagne,False,707
Landaff,Grafton,Governor,,R,Ovide Lamontagne,False,109
Langdon,Sullivan,Governor,,R,Ovide Lamontagne,False,132
Lebanon,Grafton,Governor,,R,Ovide Lamontagne,False,1849
Lee,Strafford,Governor,,R,Ovide Lamontagne,False,819
Lempster,Sullivan,Governor,,R,Ovide Lamontagne,False,275
Lincoln,Grafton,Governor,,R,Ovide Lamontagne,False,313
Lisbon,Grafton,Governor,,R,Ovide Lamontagne,False,285
Litchfield,Hillsborough,Governor,,R,Ovide Lamontagne,False,2344
Littleton,Grafton,Governor,,R,Ovide Lamontagne,False,1207
Livermore,Grafton,Governor,,R,Ovide Lamontagne,False,0
Londonderry,Rockingham,Governor,,R,Ovide Lamontagne,False,6516
Loudon,Merrimack,Governor,,R,Ovide Lamontagne,False,1392
Low & Burbank's Grant,Coos,Governor,,R,Ovide Lamontagne,False,0
Lyman,Grafton,Governor,,R,Ovide Lamontagne,False,135
Lyme,Grafton,Governor,,R,Ovide Lamontagne,False,260
Lyndeborough,Hillsborough,Governor,,R,Ovide Lamontagne,False,430
Madbury,Strafford,Governor,,R,Ovide Lamontagne,False,439
Madison,Carroll,Governor,,R,Ovide Lamontagne,False,547
Manchester,Hillsborough,Governor,,R,Ovide Lamontagne,False,19997
Marlborough,Cheshire,Governor,,R,Ovide Lamontagne,False,297
Marlow,Cheshire,Governor,,R,Ovide Lamontagne,False,136
Martin's Location,Coos,Governor,,R,Ovide Lamontagne,False,0
Mason,Hillsborough,Governor,,R,Ovide Lamontagne,False,439
Meredith,Belknap,Governor,,R,Ovide Lamontagne,False,1860
Merrimack,Hillsborough,Governor,,R,Ovide Lamontagne,False,6900
Middleton,Strafford,Governor,,R,Ovide Lamontagne,False,379
Milan,Coos,Governor,,R,Ovide Lamontagne,False,293
Milford,Hillsborough,Governor,,R,Ovide Lamontagne,False,3350
Millsfield,Coos,Governor,,R,Ovide Lamontagne,False,16
Milton,Strafford,Governor,,R,Ovide Lamontagne,False,995
Monroe,Grafton,Governor,,R,Ovide Lamontagne,False,251
Mont Vernon,Hillsborough,Governor,,R,Ovide Lamontagne,False,706
Moultonborough,Carroll,Governor,,R,Ovide Lamontagne,False,1676
Nashua,Hillsborough,Governor,,R,Ovide Lamontagne,False,15442
Nelson,Cheshire,Governor,,R,Ovide Lamontagne,False,138
New Boston,Hillsborough,Governor,,R,Ovide Lamontagne,False,1593
New Castle,Rockingham,Governor,,R,Ovide Lamontagne,False,373
New Durham,Strafford,Governor,,R,Ovide Lamontagne,False,808
New Hampton,Belknap,Governor,,R,Ovide Lamontagne,False,563
New Ipswich,Hillsborough,Governor,,R,Ovide Lamontagne,False,1557
New London,Merrimack,Governor,,R,Ovide Lamontagne,False,1238
Newbury,Merrimack,Governor,,R,Ovide Lamontagne,False,594
Newfields,Rockingham,Governor,,R,Ovide Lamontagne,False,490
Newington,Rockingham,Governor,,R,Ovide Lamontagne,False,270
Newmarket,Rockingham,Governor,,R,Ovide Lamontagne,False,1612
Newport,Sullivan,Governor,,R,Ovide Lamontagne,False,1197
Newton,Rockingham,Governor,,R,Ovide Lamontagne,False,1202
North Hampton,Rockingham,Governor,,R,Ovide Lamontagne,False,1374
Northfield,Merrimack,Governor,,R,Ovide Lamontagne,False,921
Northumberland,Coos,Governor,,R,Ovide Lamontagne,False,378
Northwood,Rockingham,Governor,,R,Ovide Lamontagne,False,1056
Nottingham,Rockingham,Governor,,R,Ovide Lamontagne,False,1259
Odell,Coos,Governor,,R,Ovide Lamontagne,False,0
Orange,Grafton,Governor,,R,Ovide Lamontagne,False,67
Orford,Grafton,Governor,,R,Ovide Lamontagne,False,218
Ossipee,Carroll,Governor,,R,Ovide Lamontagne,False,1009
Pelham,Hillsborough,Governor,,R,Ovide Lamontagne,False,3619
Pembroke,Merrimack,Governor,,R,Ovide Lamontagne,False,1585
Peterborough,Hillsborough,Governor,,R,Ovide Lamontagne,False,1212
Piermont,Grafton,Governor,,R,Ovide Lamontagne,False,140
Pinkham's Grant,Coos,Governor,,R,Ovide Lamontagne,False,0
Pittsburg,Coos,Governor,,R,Ovide Lamontagne,False,294
Pittsfield,Merrimack,Governor,,R,Ovide Lamontagne,False,875
Plainfield,Sullivan,Governor,,R,Ovide Lamontagne,False,391
Plaistow,Rockingham,Governor,,R,Ovide Lamontagne,False,2043
Plymouth,Grafton,Governor,,R,Ovide Lamontagne,False,1019
Portsmouth,Rockingham,Governor,,R,Ovide Lamontagne,False,3473
Randolph,Coos,Governor,,R,Ovide Lamontagne,False,72
Raymond,Rockingham,Governor,,R,Ovide Lamontagne,False,2356
Richmond,Cheshire,Governor,,R,Ovide Lamontagne,False,313
Rindge,Cheshire,Governor,,R,Ovide Lamontagne,False,1591
Rochester,Strafford,Governor,,R,Ovide Lamontagne,False,5907
Rollinsford,Strafford,Governor,,R,Ovide Lamontagne,False,577
Roxbury,Cheshire,Governor,,R,Ovide Lamontagne,False,41
Rumney,Grafton,Governor,,R,Ovide Lamontagne,False,392
Rye,Rockingham,Governor,,R,Ovide Lamontagne,False,1667
Salem,Rockingham,Governor,,R,Ovide Lamontagne,False,7239
Salisbury,Merrimack,Governor,,R,Ovide Lamontagne,False,350
Sanbornton,Belknap,Governor,,R,Ovide Lamontagne,False,828
Sandown,Rockingham,Governor,,R,Ovide Lamontagne,False,1677
Sandwich,Carroll,Governor,,R,Ovide Lamontagne,False,367
Sargent's Purchase,Coos,Governor,,R,Ovide Lamontagne,False,0
Seabrook,Rockingham,Governor,,R,Ovide Lamontagne,False,1800
Second College Grant,Coos,Governor,,R,Ovide Lamontagne,False,0
Sharon,Hillsborough,Governor,,R,Ovide Lamontagne,False,92
Shelburne,Coos,Governor,,R,Ovide Lamontagne,False,100
Somersworth,Strafford,Governor,,R,Ovide Lamontagne,False,1840
South Hampton,Rockingham,Governor,,R,Ovide Lamontagne,False,274
Springfield,Sullivan,Governor,,R,Ovide Lamontagne,False,343
Stark,Coos,Governor,,R,Ovide Lamontagne,False,122
Stewartstown,Coos,Governor,,R,Ovide Lamontagne,False,191
Stoddard,Cheshire,Governor,,R,Ovide Lamontagne,False,305
Strafford,Strafford,Governor,,R,Ovide Lamontagne,False,1077
Stratford,Coos,Governor,,R,Ovide Lamontagne,False,106
Stratham,Rockingham,Governor,,R,Ovide Lamontagne,False,2112
Success,Coos,Governor,,R,Ovide Lamontagne,False,0
Sugar Hill,Grafton,Governor,,R,Ovide Lamontagne,False,149
Sullivan,Cheshire,Governor,,R,Ovide Lamontagne,False,134
Sunapee,Sullivan,Governor,,R,Ovide Lamontagne,False,948
Surry,Cheshire,Governor,,R,Ovide Lamontagne,False,179
Sutton,Merrimack,Governor,,R,Ovide Lamontagne,False,510
Swanzey,Cheshire,Governor,,R,Ovide Lamontagne,False,1354
Tamworth,Carroll,Governor,,R,Ovide Lamontagne,False,654
Temple,Hillsborough,Governor,,R,Ovide Lamontagne,False,381
Thompson & Meserve's Pur.,Coos,Governor,,R,Ovide Lamontagne,False,0
Thornton,Grafton,Governor,,R,Ovide Lamontagne,False,556
Tilton,Belknap,Governor,,R,Ovide Lamontagne,False,735
Troy,Cheshire,Governor,,R,Ovide Lamontagne,False,396
Tuftonboro,Carroll,Governor,,R,Ovide Lamontagne,False,870
Unity,Sullivan,Governor,,R,Ovide Lamontagne,False,306
Wakefield,Carroll,Governor,,R,Ovide Lamontagne,False,1278
Walpole,Cheshire,Governor,,R,Ovide Lamontagne,False,693
Warner,Merrimack,Governor,,R,Ovide Lamontagne,False,630
Warren,Grafton,Governor,,R,Ovide Lamontagne,False,193
Washington,Sullivan,Governor,,R,Ovide Lamontagne,False,290
Waterville Valley,Grafton,Governor,,R,Ovide Lamontagne,False,103
Weare,Hillsborough,Governor,,R,Ovide Lamontagne,False,2358
Webster,Merrimack,Governor,,R,Ovide Lamontagne,False,457
Wentworth,Grafton,Governor,,R,Ovide Lamontagne,False,240
Wentworth's Location,Coos,Governor,,R,Ovide Lamontagne,False,16
Westmoreland,Cheshire,Governor,,R,Ovide Lamontagne,False,372
Whitefield,Coos,Governor,,R,Ovide Lamontagne,False,420
Wilmot,Merrimack,Governor,,R,Ovide Lamontagne,False,322
Wilton,Hillsborough,Governor,,R,Ovide Lamontagne,False,894
Winchester,Cheshire,Governor,,R,Ovide Lamontagne,False,557
Windham,Rockingham,Governor,,R,Ovide Lamontagne,False,4664
Windsor,Hillsborough,Governor,,R,Ovide Lamontagne,False,65
Wolfeboro,Carroll,Governor,,R,Ovide Lamontagne,False,2152
Woodstock,Grafton,Governor,,R,Ovide Lamontagne,False,287
Acworth,Sullivan,Governor,,D,Maggie Hassan,True,323
Albany,Carroll,Governor,,D,Maggie Hassan,True,235
Alexandria,Grafton,Governor,,D,Maggie Hassan,True,500
Allenstown,Merrimack,Governor,,D,Maggie Hassan,True,1203
Alstead,Cheshire,Governor,,D,Maggie Hassan,True,674
Alton,Belknap,Governor,,D,Maggie Hassan,True,1320
Amherst,Hillsborough,Governor,,D,Maggie Hassan,True,3610
Andover,Merrimack,Governor,,D,Maggie Hassan,True,774
Antrim,Hillsborough,Governor,,D,Maggie Hassan,True,810
Ashland,Grafton,Governor,,D,Maggie Hassan,True,606
At. & Gil. Academy Grant,Coos,Governor,,D,Maggie Hassan,True,0
Atkinson,Rockingham,Governor,,D,Maggie Hassan,True,1710
Auburn,Rockingham,Governor,,D,Maggie Hassan,True,1347
Barnstead,Belknap,Governor,,D,Maggie Hassan,True,1198
Barrington,Strafford,Governor,,D,Maggie Hassan,True,2710
Bartlett,Carroll,Governor,,D,Maggie Hassan,True,1034
Bath,Grafton,Governor,,D,Maggie Hassan,True,259
Bean's Grant,Coos,Governor,,D,Maggie Hassan,True,0
Bean's Purchase,Coos,Governor,,D,Maggie Hassan,True,0
Bedford,Hillsborough,Governor,,D,Maggie Hassan,True,5017
Belmont,Belknap,Governor,,D,Maggie Hassan,True,1888
Bennington,Hillsborough,Governor,,D,Maggie Hassan,True,384
Benton,Grafton,Governor,,D,Maggie Hassan,True,73
Berlin,Coos,Governor,,D,Maggie Hassan,True,2824
Bethlehem,Grafton,Governor,,D,Maggie Hassan,True,847
Boscawen,Merrimack,Governor,,D,Maggie Hassan,True,1007
Bow,Merrimack,Governor,,D,Maggie Hassan,True,2643
Bradford,Merrimack,Governor,,D,Maggie Hassan,True,520
Brentwood,Rockingham,Governor,,D,Maggie Hassan,True,1149
Bridgewater,Grafton,Governor,,D,Maggie Hassan,True,349
Bristol,Grafton,Governor,,D,Maggie Hassan,True,810
Brookfield,Carroll,Governor,,D,Maggie Hassan,True,184
Brookline,Hillsborough,Governor,,D,Maggie Hassan,True,1372
Cambridge,Coos,Governor,,D,Maggie Hassan,True,1
Campton,Grafton,Governor,,D,Maggie Hassan,True,1054
Canaan,Grafton,Governor,,D,Maggie Hassan,True,1122
Candia,Rockingham,Governor,,D,Maggie Hassan,True,1022
Canterbury,Merrimack,Governor,,D,Maggie Hassan,True,974
Carroll,Coos,Governor,,D,Maggie Hassan,True,283
Center Harbor,Belknap,Governor,,D,Maggie Hassan,True,350
Chandler's Purchase,Coos,Governor,,D,Maggie Hassan,True,0
Charlestown,Sullivan,Governor,,D,Maggie Hassan,True,1388
Chatham,Carroll,Governor,,D,Maggie Hassan,True,97
Chester,Rockingham,Governor,,D,Maggie Hassan,True,1176
Chesterfield,Cheshire,Governor,,D,Maggie Hassan,True,1284
Chichester,Merrimack,Governor,,D,Maggie Hassan,True,765
Claremont,Sullivan,Governor,,D,Maggie Hassan,True,3350
Clarksville,Coos,Governor,,D,Maggie Hassan,True,70
Colebrook,Coos,Governor,,D,Maggie Hassan,True,458
Columbia,Coos,Governor,,D,Maggie Hassan,True,149
Concord,Merrimack,Governor,,D,Maggie Hassan,True,14507
Conway,Carroll,Governor,,D,Maggie Hassan,True,2914
Cornish,Sullivan,Governor,,D,Maggie Hassan,True,644
Crawford's Purchase,Coos,Governor,,D,Maggie Hassan,True,0
Croydon,Sullivan,Governor,,D,Maggie Hassan,True,210
Cutt's Grant,Coos,Governor,,D,Maggie Hassan,True,0
Dalton,Coos,Governor,,D,Maggie Hassan,True,244
Danbury,Merrimack,Governor,,D,Maggie Hassan,True,343
Danville,Rockingham,Governor,,D,Maggie Hassan,True,1087
Deerfield,Rockingham,Governor,,D,Maggie Hassan,True,1195
Deering,Hillsborough,Governor,,D,Maggie Hassan,True,517
Derry,Rockingham,Governor,,D,Maggie Hassan,True,7891
Dix's Grant,Coos,Governor,,D,Maggie Hassan,True,0
Dixville,Coos,Governor,,D,Maggie Hassan,True,3
Dorchester,Grafton,Governor,,D,Maggie Hassan,True,92
Dover,Strafford,Governor,,D,Maggie Hassan,True,10006
Dublin,Cheshire,Governor,,D,Maggie Hassan,True,653
Dummer,Coos,Governor,,D,Maggie Hassan,True,84
Dunbarton,Merrimack,Governor,,D,Maggie Hassan,True,831
Durham,Strafford,Governor,,D,Maggie Hassan,True,4815
East Kingston,Rockingham,Governor,,D,Maggie Hassan,True,645
Easton,Grafton,Governor,,D,Maggie Hassan,True,122
Eaton,Carroll,Governor,,D,Maggie Hassan,True,159
Effingham,Carroll,Governor,,D,Maggie Hassan,True,396
Ellsworth,Grafton,Governor,,D,Maggie Hassan,True,34
Enfield,Grafton,Governor,,D,Maggie Hassan,True,1571
Epping,Rockingham,Governor,,D,Maggie Hassan,True,1914
Epsom,Merrimack,Governor,,D,Maggie Hassan,True,1262
Errol,Coos,Governor,,D,Maggie Hassan,True,76
Erving's Location,Coos,Governor,,D,Maggie Hassan,True,0
Exeter,Rockingham,Governor,,D,Maggie Hassan,True,5479
Farmington,Strafford,Governor,,D,Maggie Hassan,True,1556
Fitzwilliam,Cheshire,Governor,,D,Maggie Hassan,True,748
Francestown,Hillsborough,Governor,,D,Maggie Hassan,True,525
Franconia,Grafton,Governor,,D,Maggie Hassan,True,489
Franklin,Merrimack,Governor,,D,Maggie Hassan,True,2147
Freedom,Carroll,Governor,,D,Maggie Hassan,True,466
Fremont,Rockingham,Governor,,D,Maggie Hassan,True,1162
Gilford,Belknap,Governor,,D,Maggie Hassan,True,2257
Gilmanton,Belknap,Governor,,D,Maggie Hassan,True,1076
Gilsum,Cheshire,Governor,,D,Maggie Hassan,True,245
Goffstown,Hillsborough,Governor,,D,Maggie Hassan,True,4257
Gorham,Coos,Governor,,D,Maggie Hassan,True,1016
Goshen,Sullivan,Governor,,D,Maggie Hassan,True,232
Grafton,Grafton,Governor,,D,Maggie Hassan,True,342
Grantham,Sullivan,Governor,,D,Maggie Hassan,True,1190
Green's Grant,Coos,Governor,,D,Maggie Hassan,True,1
Greenfield,Hillsborough,Governor,,D,Maggie Hassan,True,477
Greenland,Rockingham,Governor,,D,Maggie Hassan,True,1341
Greenville,Hillsborough,Governor,,D,Maggie Hassan,True,500
Groton,Grafton,Governor,,D,Maggie Hassan,True,135
Hadley's Purchase,Coos,Governor,,D,Maggie Hassan,True,0
Hale's Location,Carroll,Governor,,D,Maggie Hassan,True,25
Hampstead,Rockingham,Governor,,D,Maggie Hassan,True,2198
Hampton,Rockingham,Governor,,D,Maggie Hassan,True,5140
Hampton Falls,Rockingham,Governor,,D,Maggie Hassan,True,590
Hancock,Hillsborough,Governor,,D,Maggie Hassan,True,762
Hanover,Grafton,Governor,,D,Maggie Hassan,True,5169
Harrisville,Cheshire,Governor,,D,Maggie Hassan,True,486
Hart's Location,Carroll,Governor,,D,Maggie Hassan,True,22
Haverhill,Grafton,Governor,,D,Maggie Hassan,True,970
Hebron,Grafton,Governor,,D,Maggie Hassan,True,163
Henniker,Merrimack,Governor,,D,Maggie Hassan,True,1540
Hill,Merrimack,Governor,,D,Maggie Hassan,True,303
Hillsborough,Hillsborough,Governor,,D,Maggie Hassan,True,1529
Hinsdale,Cheshire,Governor,,D,Maggie Hassan,True,1201
Holderness,Grafton,Governor,,D,Maggie Hassan,True,762
Hollis,Hillsborough,Governor,,D,Maggie Hassan,True,2450
Hooksett,Merrimack,Governor,,D,Maggie Hassan,True,3389
Hopkinton,Merrimack,Governor,,D,Maggie Hassan,True,2278
Hudson,Hillsborough,Governor,,D,Maggie Hassan,True,5812
Jackson,Carroll,Governor,,D,Maggie Hassan,True,414
Jaffrey,Cheshire,Governor,,D,Maggie Hassan,True,1536
Jefferson,Coos,Governor,,D,Maggie Hassan,True,270
Keene,Cheshire,Governor,,D,Maggie Hassan,True,8317
Kensington,Rockingham,Governor,,D,Maggie Hassan,True,672
Kilkenny,Coos,Governor,,D,Maggie Hassan,True,0
Kingston,Rockingham,Governor,,D,Maggie Hassan,True,1646
Laconia,Belknap,Governor,,D,Maggie Hassan,True,4043
Lancaster,Coos,Governor,,D,Maggie Hassan,True,849
Landaff,Grafton,Governor,,D,Maggie Hassan,True,131
Langdon,Sullivan,Governor,,D,Maggie Hassan,True,237
Lebanon,Grafton,Governor,,D,Maggie Hassan,True,4678
Lee,Strafford,Governor,,D,Maggie Hassan,True,1673
Lempster,Sullivan,Governor,,D,Maggie Hassan,True,285
Lincoln,Grafton,Governor,,D,Maggie Hassan,True,436
Lisbon,Grafton,Governor,,D,Maggie Hassan,True,389
Litchfield,Hillsborough,Governor,,D,Maggie Hassan,True,2089
Littleton,Grafton,Governor,,D,Maggie Hassan,True,1573
Livermore,Grafton,Governor,,D,Maggie Hassan,True,0
Londonderry,Rockingham,Governor,,D,Maggie Hassan,True,6022
Loudon,Merrimack,Governor,,D,Maggie Hassan,True,1519
Low & Burbank's Grant,Coos,Governor,,D,Maggie Hassan,True,0
Lyman,Grafton,Governor,,D,Maggie Hassan,True,153
Lyme,Grafton,Governor,,D,Maggie Hassan,True,911
Lyndeborough,Hillsborough,Governor,,D,Maggie Hassan,True,532
Madbury,Strafford,Governor,,D,Maggie Hassan,True,681
Madison,Carroll,Governor,,D,Maggie Hassan,True,804
Manchester,Hillsborough,Governor,,D,Maggie Hassan,True,25778
Marlborough,Cheshire,Governor,,D,Maggie Hassan,True,782
Marlow,Cheshire,Governor,,D,Maggie Hassan,True,273
Martin's Location,Coos,Governor,,D,Maggie Hassan,True,0
Mason,Hillsborough,Governor,,D,Maggie Hassan,True,343
Meredith,Belknap,Governor,,D,Maggie Hassan,True,1973
Merrimack,Hillsborough,Governor,,D,Maggie Hassan,True,7180
Middleton,Strafford,Governor,,D,Maggie Hassan,True,459
Milan,Coos,Governor,,D,Maggie Hassan,True,428
Milford,Hillsborough,Governor,,D,Maggie Hassan,True,4160
Millsfield,Coos,Governor,,D,Maggie Hassan,True,5
Milton,Strafford,Governor,,D,Maggie Hassan,True,1182
Monroe,Grafton,Governor,,D,Maggie Hassan,True,220
Mont Vernon,Hillsborough,Governor,,D,Maggie Hassan,True,724
Moultonborough,Carroll,Governor,,D,Maggie Hassan,True,1272
Nashua,Hillsborough,Governor,,D,Maggie Hassan,True,23852
Nelson,Cheshire,Governor,,D,Maggie Hassan,True,287
New Boston,Hillsborough,Governor,,D,Maggie Hassan,True,1472
New Castle,Rockingham,Governor,,D,Maggie Hassan,True,422
New Durham,Strafford,Governor,,D,Maggie Hassan,True,750
